,namespace,Motivo
0,colegiodompedrosegundo,Sem nenhuma subida de conteudo em cadernos
1,colegiomagnum,Sem nenhuma subida de conteudo em cadernos
2,colegiomundial,Sem nenhuma subida de conteudo em cadernos
3,colegionovopatio,Sem nenhuma subida de conteudo em cadernos
4,colegioser,Sem nenhuma subida de conteudo em cadernos
5,cursinhoeach,Sem nenhuma subida de conteudo em cadernos
6,dominius,Sem nenhuma subida de conteudo em cadernos
7,dommga,Sem nenhuma subida de conteudo em cadernos
8,implantacao,Sem nenhuma subida de conteudo em cadernos
9,magister,Sem nenhuma subida de conteudo em cadernos
10,nucleopva,Sem nenhuma subida de conteudo em cadernos
11,pioxiicolegio,Sem nenhuma subida de conteudo em cadernos
12,plannetataboao,Sem nenhuma subida de conteudo em cadernos
13,poliedro,Sem nenhuma subida de conteudo em cadernos
14,professoratalitha,Sem nenhuma subida de conteudo em cadernos
15,saberviver,Sem nenhuma subida de conteudo em cadernos
16,simbios,Sem nenhuma subida de conteudo em cadernos
17,simuladoita,Sem nenhuma subida de conteudo em cadernos
