,namespace,Total Conteudos,PDFS,Videos,Tarefas,S.Exs
0,acesso,1,0.0,0.0,0.0,1.0
1,amaisteste,6,1.0,2.0,3.0,0.0
2,aprovest,1,0.0,0.0,0.0,1.0
3,camerinocursos,2,1.0,0.0,0.0,1.0
4,cbpdigital,3,1.0,0.0,1.0,1.0
5,cnslpb,6,0.0,0.0,0.0,6.0
6,colegioalphaunis,1,0.0,0.0,0.0,1.0
7,colegiobatistaindependente,1,0.0,0.0,0.0,1.0
8,colegioup,6,0.0,0.0,0.0,6.0
9,crb,1,1.0,0.0,0.0,0.0
10,crescercampinas,1,0.0,0.0,0.0,1.0
11,domus,5,0.0,5.0,0.0,0.0
12,educandarioterciocorreia,4,2.0,1.0,0.0,1.0
13,garra,7,0.0,0.0,0.0,7.0
14,idaam,5,0.0,5.0,0.0,0.0
15,institutocristao,1,0.0,0.0,0.0,1.0
16,jazzvestibular,3,0.0,0.0,0.0,3.0
17,maplebearslz,3,1.0,0.0,0.0,2.0
18,melquiadescamelo,5,3.0,2.0,0.0,0.0
19,meta,8,5.0,3.0,0.0,0.0
20,pesenglish,5,3.0,1.0,1.0,0.0
21,poliedropv,1,0.0,0.0,0.0,1.0
22,santamariacn,9,4.0,3.0,1.0,1.0
