,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs
0,abdiasmartins,2.32,2.42,0.07,0.03
1,abiliomartins,2.7,2.35,0.06,0.06
2,acessoalmirantetamandare,1.92,4.87,0.24,0.03
3,acessoboqueirao,1.37,8.24,0.09,0.05
4,acessocampolargo,1.47,5.03,0.08,0.04
5,acessocampolargokids,1.95,5.93,0.32,0.0
6,acessofazendariogrande,1.6,4.55,0.09,0.05
7,acessohauer,1.37,12.65,0.17,0.02
8,acessopinhais,1.66,4.16,0.09,0.06
9,acessosantafelicidade,1.43,8.44,0.14,0.04
10,acessosjpinhais,2.1,2.45,0.05,0.07
11,adrianochan,2.16,2.64,0.01,0.15
12,aescobjetivo,1.6,3.9,0.09,0.02
13,alpha,2.35,5.43,0.22,0.15
14,amadeus,2.76,7.7,0.42,0.08
15,anossaatmosfera,4.19,2.31,0.03,0.29
16,antoniairene,4.71,1.39,0.06,0.01
17,antoniolima,142.0,1.95,0.46,0.0
18,antoniomelo,3.29,5.09,0.21,0.14
19,apogeustoantonio2,1.41,19.04,0.0,0.23
20,beityaacov,2.8,2.0,0.0,0.07
21,brasilcursinhos,1.45,13.19,0.07,0.15
22,capacitacaoinspira,2.0,2.0,0.0,0.0
23,casdinhosjc,2.25,2.4,0.01,0.12
24,casdvest,2.33,1.95,0.01,0.03
25,cats,1.73,3.29,0.0,0.05
26,ceabb,1.92,10.45,0.24,0.14
27,ceespacolivre,2.43,1.95,0.07,0.0
28,cem,4.87,1.96,0.11,0.16
29,ceprimeiromundo,1.53,8.03,0.2,0.02
30,ciadosaber,1.39,4.59,0.02,0.04
31,colegioarena,4.78,9.29,0.55,0.13
32,colegiobetelbrasileirosp,7.77,1.63,0.25,0.0
33,colegiobilac,5.46,5.1,0.38,0.24
34,colegiobrasilia,1.28,10.08,0.03,0.09
35,colegiocb,4.08,2.08,0.2,0.06
36,colegiodasamericas,1.84,3.89,0.15,0.04
37,colegioeag,4.77,2.01,0.26,0.01
38,colegioecursodesafio,11.47,1.73,0.2,0.13
39,colegioecursoprogressao,1.79,127.32,0.26,0.16
40,colegioeducallis,23.71,11.86,0.76,0.11
41,colegioensitec,2.87,2.24,0.16,0.05
42,colegioflamingo,2.34,8.85,0.2,0.2
43,colegiofuturageracao,2.73,7.85,0.45,0.05
44,colegioglobal,15.5,5.64,0.03,0.73
45,colegioguilhermedealmeida,3.64,10.42,0.53,0.1
46,colegioiguatemy,2.23,4.73,0.28,0.06
47,colegiointegral,5.44,1.66,0.12,0.09
48,colegiojoaopaulo,1.73,3.66,0.12,0.02
49,colegioliceu,5.06,4.4,0.0,0.57
50,colegioplanck,1.51,5.58,0.0,0.15
51,colegiopremium,1.38,20.46,0.17,0.05
52,colegiopremiumgentil,4.41,1.3,0.0,0.0
53,colegiosete,2.98,6.25,0.11,0.39
54,colegiouirapuru,10.9,4.71,0.02,0.67
55,colegiouniverso,4.61,1.38,0.01,0.05
56,conexaosaber,6.07,34.06,0.77,0.03
57,conradochaves,3.35,3.01,0.36,0.0
58,contemporaneocidadeverde,inf,1.14,0.0,0.12
59,contemporaneolagoanova,51.0,1.02,0.0,0.0
