,namespace,M. Total Questões,M. Questões Disc,M Questões Banco
0,abdiasmartins,1.0,0.69,0.0
1,abiliomartins,0.5,0.02,0.44
2,acessoalmirantetamandare,72.26,24.12,4.77
3,acessoboqueirao,29.78,6.0,3.46
4,acessocampolargo,48.23,11.85,4.71
5,acessocampolargokids,27.36,14.68,0.0
6,acessofazendariogrande,43.12,15.56,2.28
7,acessohauer,18.68,9.2,0.23
8,acessopinhais,54.19,10.47,4.04
9,acessosantafelicidade,39.94,11.09,3.03
10,acessosjpinhais,26.15,9.19,1.35
11,adrianochan,13.02,0.32,2.12
12,aescobjetivo,44.67,4.54,0.71
13,alpha,41.26,3.57,5.46
14,amadeus,28.02,7.97,3.6
15,anossaatmosfera,30.42,0.0,0.0
16,antoniairene,0.08,0.0,0.0
17,antoniomelo,3.14,1.14,0.67
18,apogeustoantonio2,54.06,2.57,18.85
19,beityaacov,1025.89,140.67,0.22
20,brasilcursinhos,33.52,1.4,9.45
21,casdinhosjc,13.43,0.57,1.78
22,casdvest,7.41,0.31,0.86
23,cats,22.13,0.04,4.3
24,ceabb,91.53,35.96,1.09
25,ceespacolivre,13.94,4.64,1.31
26,cem,55.68,35.53,5.13
27,ceprimeiromundo,43.92,5.43,1.21
28,ciadosaber,88.12,1.45,1.48
29,colegioarena,10.61,2.01,1.23
30,colegiobetelbrasileirosp,21.1,10.23,0.0
31,colegiobilac,48.52,4.97,0.08
32,colegiobrasilia,55.9,1.22,1.4
33,colegiocb,34.97,2.93,5.75
34,colegiodasamericas,64.73,25.72,3.82
35,colegioeag,6.14,0.88,0.95
36,colegioecursodesafio,63.88,5.27,23.54
37,colegioecursoprogressao,72.02,1.11,12.13
38,colegioeducallis,34.04,10.79,0.04
39,colegioensitec,29.97,9.08,5.23
40,colegioflamingo,142.24,35.18,45.27
41,colegiofuturageracao,94.19,39.78,0.28
42,colegioglobal,32.69,5.58,6.2
43,colegioguilhermedealmeida,14.77,6.29,2.14
44,colegioiguatemy,63.01,14.12,8.74
45,colegiointegral,70.76,1.98,7.06
46,colegiojoaopaulo,52.85,7.02,2.13
47,colegioliceu,338.74,103.0,0.0
48,colegioplanck,14.29,4.93,0.0
49,colegiopremium,82.14,16.37,0.57
50,colegiopremiumgentil,3.05,0.01,0.13
51,colegiosete,29.5,1.49,4.46
52,colegiouirapuru,10.59,1.86,1.61
53,colegiouniverso,26.66,1.82,1.7
54,conexaosaber,36.97,20.89,0.55
55,contemporaneocidadeverde,6.83,0.07,0.11
56,contemporaneolagoanova,3.63,0.0,0.09
57,cursobase,77.16,1.06,53.12
58,cursoenfase,6.42,0.03,0.97
59,cursoisfera,59.28,1.2,3.09
60,cursoleopoldo,1.16,0.0,0.46
61,cursoprogressao,0.1,0.0,0.05
62,cursosazambuja,23.04,0.32,3.1
63,dante,1222.29,303.0,0.57
64,deltaeducacional,27.21,5.33,5.95
65,eacorcovado,17.32,5.06,2.12
66,eccos,34.26,18.39,0.75
67,educarse,17.89,0.84,11.03
68,einsteinassis,169.82,53.58,60.62
69,eldapereira,1.0,0.0,0.0
70,elitecuritiba,1.68,0.02,0.15
71,elitecuritibaemilianoperneta,77.76,15.27,14.1
72,escolaceciliameireles,21.73,3.53,0.06
73,escolamaster,168.52,24.9,10.07
74,escolavida,18.13,12.3,0.13
75,faculdadeflamingo,3.2,0.2,0.0
76,francobrasileiro,1268.77,42.87,2.77
77,gamt,1.52,1.52,0.0
78,gerabixo,54.02,1.26,14.16
79,guilhermefilho,0.08,0.0,0.0
80,informacao,14.49,0.69,7.02
81,insa,198.85,1.34,104.03
82,institutoeurofarma,7.14,0.99,1.55
83,integra,17.58,8.75,0.04
84,integradaeducativa,26.8,14.82,5.14
85,invictus,97.7,35.33,19.75
86,ipdhsolucoes,0.06,0.02,0.0
87,iracemarufino,0.14,0.05,0.0
88,isem,10.97,5.05,0.05
89,itamarati,0.99,0.64,0.08
90,jardimsaopaulo,128.83,36.12,0.04
91,joaobelem,1.21,0.0,0.18
92,joaorosa,0.09,0.03,0.0
93,joaosampaio,1.25,0.0,1.25
94,laboratoriosromildo,6.8,0.0,0.31
95,lidera,0.12,0.12,0.0
96,liessin,154.2,19.95,0.75
97,liessinbarra,251.77,30.85,4.08
98,litteratus,4.21,0.06,3.52
99,luizgonzaga,0.0,0.0,0.0
100,macvest,17.08,0.41,1.41
101,mariaeunice,0.04,0.04,0.0
102,mariaolinda,0.25,0.0,0.0
103,mariliamattoso,78.79,15.34,45.49
104,master,22.98,0.17,0.18
105,moaciralves,2.46,0.44,0.17
106,monsenhorgoncalo,0.63,0.0,0.11
107,murilorocha,0.49,0.07,0.11
108,novotempo,6.14,0.02,2.49
109,nucleocriativo,33.89,1.33,0.92
110,objetivolorena,34.52,2.59,1.93
111,oficinadoestudante,6.54,0.17,0.28
112,overabelcabral,47.41,1.5,2.0
113,overjoaopessoa,70.47,1.52,6.19
114,overlimaesilva,30.93,0.14,0.0
115,overmarciliofurtado,55.32,0.65,3.1
116,overmossoro,61.56,5.61,12.58
117,overnascimentodecastro,6.28,0.02,0.51
118,overpontanegra,54.24,1.54,1.83
119,overzonanorte,67.87,0.72,8.82
120,physicsalcindocacela,17.83,0.27,3.56
121,physicsalmirantebarroso,36.78,3.02,4.22
122,physicsaugustomontenegro,43.46,2.93,2.04
123,physicsbatistacampos,61.3,5.69,3.2
124,physicscidadenova,34.05,2.26,2.79
125,physicsconselheirofurtado,19.51,0.06,2.59
126,physicsmacapa,75.45,3.16,13.33
127,physicsumarizal,83.06,6.25,15.77
128,pioxi,27.22,1.94,1.31
129,portinari,20.95,1.42,2.06
130,porto,31.68,5.88,2.04
131,primeirodemaio,8.47,0.45,4.99
132,prismapatrocinio,41.15,2.2,4.82
133,profederal,37.79,1.14,12.61
134,progressaodc,113.15,6.75,38.6
135,progressaoig,82.5,2.69,26.11
136,provaspoliedro,12.31,3.88,0.03
137,psantagema,158.88,51.47,18.15
138,qescola,59.85,4.93,4.13
139,sagradafamilia,167.71,51.0,3.66
140,santadoroteia,882.59,148.97,2.21
141,santoamerico,69.93,15.95,3.0
142,saseducacao,2272.0,355.95,2.05
143,senhorbonfim,1.44,0.36,0.08
144,souhabilis,186.14,0.31,178.66
145,spdacruz,44.77,7.14,1.92
146,stellamarisaguaverde,20.98,5.63,0.37
147,stellamarisjuveve,35.91,9.75,2.13
148,stellamarisxaxim,48.99,14.03,2.65
149,universitariolondrina,22.29,0.89,3.4
150,universobarcarena,47.48,6.92,4.65
151,valdemiracoelho,1.47,0.24,0.35
152,venceslauchaves,0.25,0.0,0.0
153,villalobos,70.31,13.0,5.54
154,antoniolima,0.0,0.0,0.0
155,capacitacaoinspira,0.0,0.0,0.0
156,conradochaves,0.0,0.0,0.0
157,marialaura,0.0,0.0,0.0
158,marianair,0.0,0.0,0.0
159,nsfatima,0.0,0.0,0.0
