,namespace,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs
0,acessoalmirantetamandare,460.29,136.88,4.0,691.86,31.0,3.0,0.43,0.0,258.84,29.83
1,acessoboqueirao,298.4,51.65,13.0,461.33,15.83,8.33,1.33,0.0,255.08,21.26
2,acessocampolargo,421.42,116.08,9.25,982.6,194.2,6.6,1.4,0.0,269.27,29.67
3,acessocampolargokids,156.2,0.0,31.8,47.0,0.0,6.67,0.0,0.0,40.95,0.0
4,acessofazendariogrande,269.56,97.75,5.38,331.17,4.83,1.5,0.0,0.0,213.16,23.45
5,acessohauer,420.25,135.17,32.5,320.33,16.67,46.67,0.17,0.0,146.35,14.42
6,acessopinhais,85.92,25.17,7.42,318.0,35.5,2.33,1.17,0.0,284.76,26.63
7,acessosantafelicidade,704.27,80.59,4.82,1583.75,38.25,2.0,1.62,0.0,277.25,24.02
8,acessosjpinhais,175.93,120.03,38.83,219.67,25.67,52.0,0.0,0.5,157.16,12.73
9,adrianochan,393.6,58.4,4.2,298.0,233.57,58.57,0.0,0.43,55.12,9.06
10,aescobjetivo,174.93,115.36,7.57,472.67,152.83,8.33,1.5,0.17,161.16,10.51
11,alpha,0.28,297.69,16.69,0.11,434.67,32.11,0.11,0.0,0.18,80.04
12,amadeus,124.23,122.15,13.28,915.33,60.44,12.89,0.0,0.33,135.64,20.09
13,apogeustoantonio2,9.13,19.07,1.27,41.89,40.44,28.11,0.0,0.33,51.75,16.8
14,beityaacov,0.0,0.0,0.0,29.0,0.0,9.0,5.0,0.0,1.88,0.25
15,brasilcursinhos,13.84,80.16,44.39,36.2,12.2,15.4,0.0,0.0,21.63,19.5
16,casdinhosjc,16.21,30.32,6.89,132.67,41.22,19.67,2.33,0.44,56.23,11.71
17,casdvest,9.88,12.69,8.19,35.3,1.3,4.4,0.6,0.0,8.18,1.07
18,cats,0.73,4.8,4.8,0.0,0.0,0.0,0.0,0.0,3.27,1.4
19,ceabb,162.4,657.2,12.4,0.0,0.0,0.0,0.0,0.0,35.26,66.72
20,ceespacolivre,198.64,20.71,21.5,911.0,41.0,51.0,1.0,0.0,102.26,4.17
21,cem,179.15,434.38,20.69,428.67,146.67,20.67,0.0,1.67,321.48,69.1
22,ceprimeiromundo,118.0,35.82,18.27,79.5,0.92,6.0,0.0,0.08,53.45,2.76
23,ciadosaber,1211.0,51.67,49.17,36.0,0.0,0.0,0.0,0.5,177.58,11.12
24,colegioarena,19.19,1.65,2.9,256.67,8.17,19.83,0.67,0.5,108.92,1.23
25,colegiobetelbrasileirosp,261.06,60.12,21.06,668.4,9.2,15.6,0.0,0.8,219.91,6.4
26,colegiobilac,1918.75,401.62,9.38,5587.0,980.0,34.0,5.0,0.0,137.46,33.99
27,colegiobrasilia,1347.48,247.03,241.93,1017.92,83.83,48.08,0.33,0.58,247.08,19.2
28,colegiocb,826.0,312.08,61.25,0.0,0.0,0.0,0.0,0.0,170.46,28.33
29,colegiodasamericas,252.56,367.11,42.89,542.33,179.33,18.33,0.67,0.5,160.38,47.43
30,colegioeag,13.17,130.11,7.44,40.5,4.0,13.5,0.0,3.0,4.05,12.81
31,colegioecursodesafio,282.97,76.7,14.17,362.2,19.8,7.2,1.2,1.0,115.78,18.94
32,colegioecursoprogressao,260.46,92.54,11.92,1162.0,57.33,15.0,0.0,0.0,209.09,20.95
33,colegioeducallis,996.54,0.03,5.26,833.9,0.0,0.8,1.8,0.2,148.16,0.09
34,colegioensitec,209.57,134.29,7.71,2489.0,133.0,3.0,0.0,1.5,85.12,16.09
35,colegioflamingo,405.67,273.33,20.83,277.0,51.0,37.0,2.0,1.0,155.33,45.36
36,colegiofuturageracao,498.33,100.5,57.5,0.0,0.0,0.0,0.0,0.0,321.23,28.3
37,colegioglobal,849.75,38.58,1.67,487.0,1.67,0.0,0.33,0.67,198.95,1.47
38,colegioguilhermedealmeida,4.72,691.34,40.38,4.4,183.0,41.0,0.0,0.0,6.84,92.4
39,colegioiguatemy,205.5,231.5,71.14,404.67,153.67,104.5,0.0,1.17,237.75,50.28
40,colegiointegral,78.21,235.67,2.42,452.59,232.47,1966.12,0.0,0.18,139.05,60.2
41,colegiojoaopaulo,176.24,73.38,26.07,44.25,21.25,4.25,0.0,0.12,133.58,16.07
42,colegioplanck,152.57,0.0,0.0,1042.86,5.86,0.86,0.71,0.14,131.39,0.04
