,namespace,Total Conteudos,PDFS,Videos,Tarefas,S.Exs
0,abdiasmartins,174,75.0,72.0,12.0,6.0
1,abiliomartins,54,20.0,23.0,3.0,3.0
2,acessoalmirantetamandare,6322,3295.0,1299.0,1539.0,177.0
3,acessoboqueirao,6978,5102.0,847.0,644.0,374.0
4,acessocampolargo,7037,4772.0,1398.0,568.0,253.0
5,acessocampolargokids,2246,1150.0,379.0,716.0,0.0
6,acessofazendariogrande,5266,3288.0,1158.0,483.0,278.0
7,acessohauer,8033,5846.0,635.0,1380.0,151.0
8,acessopinhais,2331,1407.0,561.0,219.0,133.0
9,acessosantafelicidade,8107,5675.0,961.0,1166.0,305.0
10,acessosjpinhais,14307,6826.0,5840.0,659.0,945.0
11,adrianochan,2308,1069.0,873.0,26.0,337.0
12,aescobjetivo,10397,6483.0,2666.0,967.0,227.0
13,alpha,11274,4807.0,2075.0,2447.0,1679.0
14,amadeus,13636,4941.0,1770.0,5789.0,1087.0
15,anossaatmosfera,557,133.0,241.0,15.0,161.0
16,antoniairene,99,21.0,71.0,6.0,1.0
17,antoniolima,284,2.0,146.0,132.0,0.0
18,antoniomelo,56,17.0,11.0,12.0,8.0
19,apogeustoantonio2,1066,757.0,56.0,0.0,250.0
20,beityaacov,14,5.0,7.0,0.0,1.0
21,brasilcursinhos,2769,1909.0,210.0,200.0,421.0
22,capacitacaoinspira,62,31.0,31.0,0.0,0.0
23,casdinhosjc,1437,640.0,599.0,12.0,174.0
24,casdvest,2699,1158.0,1384.0,29.0,82.0
25,cats,293,169.0,89.0,0.0,16.0
26,ceabb,3167,1647.0,303.0,766.0,445.0
27,ceespacolivre,14437,5930.0,7412.0,1062.0,25.0
28,cem,11349,2330.0,5790.0,1194.0,1818.0
29,ceprimeiromundo,11442,7492.0,1425.0,2241.0,242.0
30,ciadosaber,1138,820.0,248.0,21.0,44.0
31,colegioarena,483,101.0,52.0,266.0,64.0
32,colegiobetelbrasileirosp,25499,3280.0,15636.0,6435.0,102.0
33,colegiobilac,1223,224.0,240.0,469.0,290.0
34,colegiobrasilia,34173,26645.0,3391.0,1010.0,3057.0
35,colegiocb,5899,1447.0,2839.0,1179.0,355.0
36,colegiodasamericas,12573,6833.0,3236.0,1849.0,485.0
37,colegioeag,25856,5419.0,12864.0,6810.0,284.0
38,colegioecursodesafio,12298,1072.0,7120.0,2475.0,1608.0
39,colegioecursoprogressao,2801,1566.0,22.0,728.0,455.0
40,colegioeducallis,166,7.0,14.0,126.0,18.0
41,colegioensitec,6691,2333.0,2984.0,1056.0,312.0
42,colegioflamingo,2363,1010.0,267.0,478.0,472.0
43,colegiofuturageracao,1923,705.0,245.0,873.0,92.0
44,colegioglobal,62,4.0,11.0,2.0,45.0
45,colegioguilhermedealmeida,9698,2666.0,931.0,5100.0,977.0
46,colegioiguatemy,8224,3686.0,1738.0,2319.0,480.0
47,colegiointegral,28356,5208.0,17133.0,3329.0,2505.0
48,colegiojoaopaulo,15295,8838.0,4181.0,1778.0,263.0
49,colegioliceu,976,193.0,222.0,0.0,561.0
50,colegioplanck,184,122.0,33.0,0.0,27.0
51,colegiopremium,1882,1366.0,92.0,318.0,88.0
52,colegiopremiumgentil,1844,418.0,1420.0,0.0,6.0
53,colegiosete,1712,574.0,274.0,181.0,671.0
54,colegiouirapuru,730,67.0,155.0,12.0,491.0
55,colegiouniverso,4890,1061.0,3548.0,25.0,237.0
56,conexaosaber,1737,286.0,51.0,1338.0,45.0
57,conradochaves,241,72.0,80.0,86.0,0.0
58,contemporaneocidadeverde,57,0.0,50.0,0.0,7.0
59,contemporaneolagoanova,51,1.0,50.0,0.0,0.0
60,cursobase,1408,1026.0,275.0,0.0,107.0
61,cursoenfase,1758,1613.0,106.0,0.0,36.0
62,cursoisfera,662,609.0,3.0,1.0,48.0
63,cursoleopoldo,181,40.0,140.0,0.0,1.0
64,cursoprogressao,570,60.0,510.0,0.0,0.0
65,cursosazambuja,4722,948.0,3307.0,296.0,171.0
66,dante,1403,341.0,348.0,0.0,714.0
67,deltaeducacional,13,0.0,0.0,0.0,13.0
68,eacorcovado,12285,7649.0,1172.0,2704.0,715.0
69,eccos,10715,6261.0,858.0,1436.0,776.0
70,educarse,392,123.0,204.0,3.0,57.0
71,einsteinassis,6238,751.0,3863.0,285.0,1329.0
72,eldapereira,32,4.0,14.0,13.0,1.0
73,elitecuritiba,12467,11940.0,521.0,0.0,2.0
74,elitecuritibaemilianoperneta,4271,3594.0,130.0,91.0,435.0
75,escolaceciliameireles,1445,99.0,123.0,1207.0,16.0
76,escolamaster,13,3.0,0.0,0.0,10.0
77,escolavida,99,97.0,0.0,1.0,1.0
78,faculdadeflamingo,10206,7689.0,1131.0,545.0,806.0
79,francobrasileiro,10937,4385.0,2183.0,0.0,4369.0
80,gamt,368,115.0,110.0,94.0,24.0
81,gerabixo,173,42.0,33.0,1.0,91.0
82,guilhermefilho,28,4.0,16.0,3.0,1.0
83,informacao,426,260.0,82.0,6.0,78.0
84,insa,2935,1109.0,982.0,98.0,746.0
85,institutoeurofarma,295,154.0,67.0,3.0,60.0
86,integra,9741,3598.0,3443.0,2591.0,89.0
87,integradaeducativa,4150,1553.0,2116.0,134.0,320.0
88,invictus,5757,347.0,3431.0,1860.0,118.0
89,ipdhsolucoes,1119,474.0,442.0,32.0,22.0
90,iracemarufino,263,10.0,241.0,11.0,1.0
91,isem,1376,927.0,177.0,161.0,21.0
92,itamarati,18994,14330.0,584.0,3429.0,17.0
93,jardimsaopaulo,5361,1426.0,1279.0,4.0,2652.0
94,joaobelem,99,49.0,37.0,12.0,0.0
95,joaorosa,32,14.0,11.0,1.0,6.0
96,joaosampaio,72,27.0,41.0,3.0,1.0
97,laboratoriosromildo,878,8.0,830.0,36.0,4.0
98,lidera,86,41.0,37.0,1.0,3.0
99,liessin,252,122.0,48.0,16.0,50.0
100,liessinbarra,362,186.0,71.0,21.0,69.0
101,litteratus,48,21.0,14.0,5.0,8.0
102,luizgonzaga,22,6.0,13.0,1.0,2.0
103,macvest,1504,1032.0,254.0,20.0,192.0
104,mariaeunice,186,34.0,77.0,74.0,1.0
105,marialaura,164,0.0,117.0,29.0,0.0
106,marianair,441,54.0,256.0,126.0,0.0
107,mariaolinda,95,8.0,60.0,22.0,0.0
108,mariliamattoso,6642,4005.0,1173.0,1260.0,112.0
109,master,422,405.0,0.0,0.0,17.0
110,moaciralves,249,71.0,87.0,27.0,31.0
111,monsenhorgoncalo,154,21.0,111.0,17.0,2.0
112,murilorocha,307,137.0,103.0,37.0,15.0
113,novotempo,62,2.0,42.0,2.0,16.0
114,nsfatima,49,6.0,38.0,4.0,0.0
115,nucleocriativo,1749,62.0,1557.0,101.0,28.0
116,objetivolorena,8084,4227.0,2276.0,1205.0,361.0
117,oficinadoestudante,4746,3759.0,655.0,195.0,92.0
118,overabelcabral,16937,3082.0,11782.0,1608.0,385.0
119,overjoaopessoa,1655,287.0,1193.0,15.0,76.0
120,overlimaesilva,5186,850.0,3549.0,726.0,13.0
121,overmarciliofurtado,10507,1121.0,8870.0,317.0,148.0
122,overmossoro,4241,886.0,2761.0,494.0,64.0
123,overnascimentodecastro,1731,284.0,1306.0,5.0,7.0
124,overpontanegra,9925,1321.0,7334.0,1150.0,104.0
125,overzonanorte,9685,1566.0,7581.0,428.0,79.0
126,physicsalcindocacela,3653,3053.0,196.0,10.0,329.0
127,physicsalmirantebarroso,5954,3201.0,728.0,168.0,1746.0
128,physicsaugustomontenegro,8360,6106.0,296.0,147.0,1713.0
129,physicsbatistacampos,5621,3049.0,229.0,331.0,2005.0
130,physicscidadenova,5890,3250.0,393.0,186.0,2012.0
131,physicsconselheirofurtado,4109,3927.0,87.0,15.0,79.0
132,physicsmacapa,1364,669.0,127.0,45.0,523.0
133,physicsumarizal,5332,3077.0,409.0,116.0,1523.0
134,pioxi,5054,1008.0,2152.0,1786.0,105.0
135,portinari,11219,5295.0,902.0,4421.0,354.0
136,porto,1711,569.0,347.0,65.0,726.0
137,primeirodemaio,643,481.0,77.0,8.0,63.0
138,prismapatrocinio,15,1.0,0.0,0.0,14.0
139,profederal,5119,4029.0,333.0,132.0,566.0
140,progressaodc,741,497.0,10.0,73.0,153.0
141,progressaoig,1118,757.0,42.0,220.0,98.0
142,provaspoliedro,103,35.0,0.0,25.0,31.0
143,psantagema,2045,656.0,61.0,386.0,935.0
144,qescola,512,120.0,94.0,93.0,173.0
145,sagradafamilia,2108,406.0,464.0,0.0,1238.0
146,santadoroteia,7197,3072.0,1304.0,0.0,2821.0
147,santoamerico,22899,14042.0,2374.0,3648.0,2496.0
148,saseducacao,11208,2694.0,2679.0,4.0,5828.0
149,senhorbonfim,90,18.0,59.0,6.0,6.0
150,souhabilis,21,16.0,0.0,0.0,5.0
151,spdacruz,3202,1675.0,541.0,905.0,69.0
152,stellamarisaguaverde,10811,3984.0,3695.0,2847.0,223.0
153,stellamarisjuveve,23777,16369.0,3101.0,3039.0,1210.0
154,stellamarisxaxim,12078,8976.0,846.0,706.0,1534.0
155,universitariolondrina,21835,5930.0,12839.0,1549.0,1408.0
156,universobarcarena,6550,5195.0,335.0,722.0,256.0
157,valdemiracoelho,139,42.0,51.0,15.0,10.0
158,venceslauchaves,22,10.0,10.0,1.0,1.0
159,villalobos,39613,28030.0,5830.0,455.0,5154.0
